ERROR,Woops. Something went wrong.
CONFUSED,It seems that I can't understand what you're saying. Please try another way to say it.
HELLO,Hello!
LETS_PLAY,Lets play
WELCOME, Welcome {name}! Do you want to play?
GUESS_A_NUMBER,Guess a number between 1 and 10 (inclusive)
WRONG,Wrong!
WRONG,Try again!
WRONG,Well... No!
LOWER,Try something lower
HIGHER,Try something higher
CONGRATULATIONS,Congrats!
CONGRATULATIONS,Well done!
CONGRATULATIONS,Awesome!
DO_YOU_WANT_AGAIN,Do you want to play again?
PLAY_AGAIN,Play again
TEST,The number is {x:number}
